Item_ID,Trait,Reverse_Scored,Original_BFI10_Item_Rammstedt_John_2007,Current_Reflective_Version,Scale,Likert_Labels,Adaptation_Rationale,Source_Reference
BF1,Extraversion,Yes,"I see myself as someone who is reserved.","At social gatherings, I tend to stay quiet and observe rather than actively join conversations.",1-5,Disagree strongly/Disagree/Neutral/Agree/Agree strongly,"Abstract self-label → concrete social behavior scenario","Rammstedt & John (2007)"
BF2,Agreeableness,No,"I see myself as someone who is generally trusting.","When I meet someone new, I tend to give them the benefit of the doubt until proven otherwise.",1-5,Disagree strongly/Disagree/Neutral/Agree/Agree strongly,"Abstract trait → specific interpersonal behavior","Rammstedt & John (2007)"
BF3,Conscientiousness,Yes,"I see myself as someone who tends to be lazy.","When I have a free day with no obligations, I often spend it without accomplishing anything productive.",1-5,Disagree strongly/Disagree/Neutral/Agree/Agree strongly,"Negative self-label → observable behavioral pattern","Rammstedt & John (2007)"
BF4,Neuroticism,Yes,"I see myself as someone who is relaxed, handles stress well.","When unexpected problems arise, I usually stay calm and think clearly about what to do next.",1-5,Disagree strongly/Disagree/Neutral/Agree/Agree strongly,"Abstract self-description → situational coping response","Rammstedt & John (2007)"
BF5,Openness,Yes,"I see myself as someone who has few artistic interests.","I rarely feel moved or inspired by art, music, or poetry — they don't hold much personal value for me.",1-5,Disagree strongly/Disagree/Neutral/Agree/Agree strongly,"Abstract trait → emotional/aesthetic response pattern","Rammstedt & John (2007)"
BF6,Extraversion,No,"I see myself as someone who is outgoing, sociable.","I feel energized after spending time with a group of people, even if they are not close friends.",1-5,Disagree strongly/Disagree/Neutral/Agree/Agree strongly,"Abstract self-label → energy/affect after social interaction","Rammstedt & John (2007)"
BF7,Agreeableness,Yes,"I see myself as someone who tends to find fault with others.","When someone makes a mistake, my first instinct is to notice what they did wrong rather than understand why.",1-5,Disagree strongly/Disagree/Neutral/Agree/Agree strongly,"Negative self-label → automatic cognitive response pattern","Rammstedt & John (2007)"
BF8,Conscientiousness,No,"I see myself as someone who does a thorough job.","When I take on a task, I make sure every detail is done properly before considering it finished.",1-5,Disagree strongly/Disagree/Neutral/Agree/Agree strongly,"Abstract work ethic → task completion behavior","Rammstedt & John (2007)"
BF9,Neuroticism,No,"I see myself as someone who gets nervous easily.","Before important events (exams, interviews, presentations), I often feel anxious to the point where it affects my preparation.",1-5,Disagree strongly/Disagree/Neutral/Agree/Agree strongly,"Abstract nervousness → specific pre-event anxiety with consequences","Rammstedt & John (2007)"
BF10,Openness,No,"I see myself as someone who has an active imagination.","I often find myself imagining alternative scenarios or mentally exploring 'what if' possibilities.",1-5,Disagree strongly/Disagree/Neutral/Agree/Agree strongly,"Abstract trait → specific cognitive habit","Rammstedt & John (2007)"
