Item_ID,Guna,Domain,Reverse_Scored,Original_GPI_Item,Current_Proxy_Question,Scale,Likert_Labels,Source_Reference
S1,Sattva,Lifestyle,No,"Fruits and vegetables are among my favorite foods","When given a choice at a buffet, how often do you naturally gravitate towards fresh fruits and salads over heavy or spicy dishes?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
S2,Sattva,Inner,No,"All living entities are essentially spiritual","When you look at an animal or another person, to what extent do you feel a deep, underlying connection or shared 'life force' with them?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
S3,Sattva,Social,No,"Respecting ones elders is very important","If an elderly family member gives you advice that contradicts your own plans, how likely are you to listen respectfully and seriously consider their perspective?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
S4,Sattva,Social,No,"When I speak, I really try not to irritate others","In everyday conversations, how much effort do you make to ensure your words don't irritate or hurt others?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
S5,Sattva,Lifestyle,No,"I am straightforward in my dealings with other people","If a cashier gives you extra money by mistake, how likely are you to immediately point out the error and return it?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
S6,Sattva,Academic,No,"I feel that my knowledge is always increasing","How much time per week do you spend voluntarily learning something new (reading, watching documentaries) just for the sake of understanding?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
S7,Sattva,Inner,No,"I take guidance from higher ethical and moral laws before I act","When facing a difficult decision where you could gain personally by bending the rules, how often do you stop to ask yourself 'Is this the right thing to do?'",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
S8,Sattva,Inner,No,"Being truthful is extremely important","Imagine you made a mistake at work/school that no one else noticed. How likely are you to admit it voluntarily?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
S9,Sattva,Social,No,"I am very dutiful","If you promise to help a friend move house, but wake up feeling tired and lazy, how likely are you to go anyway simply because you gave your word?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
S10,Sattva,Inner,No,"In my life I usually experience deep happiness that is not dependent on anything external","Think about a time when you had nothing to do and no entertainment. How comfortable/happy were you just 'being' with yourself?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
S11,Sattva,Social,No,"Spiritually, all living entities are equal","How often do you treat the campus janitor/security guard with the exact same respect and patience as you do your Professor or Dean?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
S12,Sattva,Academic,No,"I carry out my responsibilities regardless of whether there is success or failure","If you are working on a project that looks like it will fail, do you continue to put in your best effort until the very end?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
S13,Sattva,Inner,No,"I take guidance from higher ethical and moral laws before I act","Before taking action, how often do you consult higher ethical or moral principles?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
S14,Sattva,Inner,Yes,"Self-realization is not important for me","How often do you feel that 'self-realization' or 'spiritual growth' is irrelevant to your real-life goals?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R1,Rajas,Academic,No,"I am willing to break the rules to achieve my goals","If taking a shortcut (like skipping a queue or bending a regulation) would guarantee you a major win, how likely are you to take it?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R2,Rajas,Social,No,"I have very little interest in spiritual understanding","If a friend invites you to a lecture on philosophy or spirituality, how likely are you to decline because you find it 'boring' or 'useless'?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R3,Rajas,Academic,No,"In conducting my activities, I do not consider traditional wisdom","When solving a problem, how often do you dismiss traditional or old-fashioned approaches in favor of your own logic?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R4,Rajas,Academic,No,"I become happy when I think about the material assets I possess","How often do you feel a rush of happiness or pride when you think about the possessions or assets you own?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R5,Rajas,Social,No,"I greatly admire materially successful people","How often do you find yourself admiring or following rich influencers and celebrities rather than scientists or social workers?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
